player_name,country,tour,events_played,wins,x_wins,x_wins_majors,rounds_played,shotlink_played,putt_true,arg_true,app_true,ott_true,t2g_true,total_true
"Scheffler, Scottie",United States,PGA,13,5,4.134,0.946,51,48,0.223030833,0.627405625,1.660354375,1.039139792,3.326899792,3.437621373
"Schauffele, Xander",United States,PGA,13,1,2.238,0.792,51,47,0.746495532,0.399198511,0.934941277,0.845017447,2.179157234,2.762041961
"McIlroy, Rory",Northern Ireland,PGA,14,3,1.353,0.002,55,54,0.396931296,0.199509259,0.662602963,1.009476667,1.871588889,2.231402909
"Aberg, Ludvig",Sweden,PGA,12,0,0.469,0.349,45,43,0.450569767,0.031022791,0.767862093,0.715894884,1.514779767,1.983805333
"Morikawa, Collin",United States,PGA,13,0,0.971,0.062,47,45,0.168188889,0.469741333,0.592330222,0.674507333,1.736578889,1.908632128
"Oosthuizen, Louis",South Africa,LIV,11,2,0.265,0,34,0,-9999,-9999,-9999,-9999,-9999,1.845208824
"Niemann, Joaquin",Chile,LIV,14,3,0.635,0,48,12,-0.4461625,0.398105,1.18941,0.543101667,2.130616667,1.813306667
"DeChambeau, Bryson",United States,LIV,10,0,0.004,0.622,32,8,0.80164125,0.3794025,0.88282875,1.711105,2.97333625,1.7561325
"Rahm, Jon",Spain,LIV,10,0,0.037,0,28,6,-0.60439,0.540176667,0.21669,0.019908333,0.776775,1.658018571
"Matsuyama, Hideki",Japan,PGA,12,1,1.29,0,47,45,-0.121459556,0.760238222,0.630746444,0.359747333,1.750732,1.554861489
"Thomas, Justin",United States,PGA,12,0,0.155,0.004,41,38,-0.329621053,0.539661053,0.906141842,0.367411842,1.813214737,1.543866585
"Theegala, Sahith",United States,PGA,15,0,0.534,0.002,55,53,0.555128679,-0.135992642,0.586826981,0.616850377,1.067684717,1.541278909
"Bezuidenhout, Christiaan",South Africa,PGA,19,0,0.451,0,69,49,0.778261429,0.225591837,0.618324082,-0.040456939,0.80345898,1.514654203
"Noren, Alex",Sweden,PGA,14,0,0.011,0.002,53,46,0.287479565,0.40945587,0.419839565,0.276441087,1.105736522,1.41912
"Fleetwood, Tommy",England,PGA,14,1,0.211,0.04,53,52,0.303147885,0.481511731,0.259582115,0.356342885,1.097436731,1.416179434
"Henley, Russell",United States,PGA,13,0,0.118,0,49,48,0.417589583,0.390643958,0.501398333,0.162803125,1.054845417,1.410895306
"Clark, Wyndham",United States,PGA,13,1,2.022,0,43,40,0.2821835,0.100344,0.42072775,0.6848845,1.20595625,1.405758372
"Burns, Sam",United States,PGA,14,0,0.384,0,49,46,0.361900217,0.101986304,0.324287391,0.442975,0.869248696,1.399077959
"Burmester, Dean",South Africa,LIV,13,3,0.262,0.002,44,4,0.013735,0.7159825,1.30087,0.521605,2.5384575,1.373538636
"An, Byeong Hun",South Korea,0,15,0,0.677,0,55,54,0.062035556,0.111678704,0.514837778,0.656730556,1.283247037,1.324951455
"Hatton, Tyrrell",England,LIV,13,0,0.008,0.001,44,20,0.196862,0.3913675,0.257652,0.460294,1.1093135,1.320906591
